,Embedded Dimension,IsoMap,MDS,UMAP,PCA,t-SNE
0,1.0,0.9689196421850723,0.9712314720058345,0.9634016668692541,0.9686223610318562,0.9529964094936261
1,6.0,0.9562858277952009,0.968383606482786,0.9283149050902103,0.9537111759325875,0.9437641988271657
2,11.0,0.9513323206131477,0.9663511204950649,0.9250732856397772,0.9425766021149811,0.9399454159269118
3,16.0,0.9488959916110976,0.9643392381191394,0.9252335805254004,0.9335742316786799,0.933987187861895
4,21.0,0.9481787849890435,0.9627703220082197,0.925090819421751,0.925489683042584,0.9259419002098943
5,26.0,0.947892234433803,0.9607107992252638,0.9248334538852004,0.9169426423500848,0.9170874951296288
6,31.0,0.9461472505066878,0.9593081711982526,0.9247161983166323,0.9104976787942476,0.9103636534925458
7,36.0,0.94445246093522,0.9577857442018692,0.92431317255727,0.9037980939780521,0.9034935223272115
8,41.0,0.9432089282406968,0.9559079124040473,0.9247439510905714,0.8977978538628392,0.8977779503414703
9,46.0,0.9419717658725457,0.9541829198884023,0.924317203043995,0.8919432121626695,0.8915340074457669
10,51.0,0.9411016972156167,0.9528232918129352,0.9250689249657391,0.8862823405309285,0.8855593321703372
11,56.0,0.9401674981954249,0.9517651009822017,0.9242068914905521,0.8806613040784027,0.8807638761556125
12,61.0,0.9390992681359629,0.9500605512634067,0.9240304817411973,0.8754332984794115,0.8750252955842085
13,66.0,0.9382831694216193,0.9488851839130095,0.9248831550639534,0.8702610008692153,0.8699733906018641
14,71.0,0.9370054866677041,0.9475925224036226,0.9243009889528482,0.865441783175132,0.8652915186744997
15,76.0,0.9360380785025394,0.9468095905986941,0.9246465842935028,0.8611462269088057,0.8607608642191686
16,81.0,0.9352948739434902,0.945524259624953,0.9245394513699179,0.8567579294811548,0.8568764931247839
17,86.0,0.9346682887191563,0.9444245354764164,0.9249362134062404,0.85264801555423,0.8525598191352668
18,91.0,0.9338491208393812,0.9424504704168284,0.9249909975395106,0.8490280185056663,0.8489164180573121
19,96.0,0.9331893582935284,0.942169503526464,0.9249258589719335,0.8451444523479259,0.8451501569085478
20,101.0,0.9323536691652634,0.940442991626087,0.9241743642053644,0.8412024914438562,0.8414385592752851
21,106.0,0.9314620295814716,0.9401648818540531,0.9245760046578045,0.8373069754818585,0.8371159702811471
