,Embedded Dimension,PCA
0,100.0,0.8422051953225531
1,110.0,0.8336804138425872
2,120.0,0.8268344858147
3,130.0,0.8193183978046054
4,140.0,0.8131056825351267
5,150.0,0.8060411667949826
6,160.0,0.8009908156670142
7,170.0,0.79491371752673
8,180.0,0.789608056178257
9,190.0,0.7839847551220472
10,200.0,0.778805077800938
11,210.0,0.7735362432596795
12,220.0,0.7686877715046119
13,230.0,0.7638738750787072
14,240.0,0.7594696919681787
15,250.0,0.754393838530385
16,260.0,0.750273983048733
17,270.0,0.7454049165820881
18,280.0,0.7417312108588533
19,290.0,0.73667875912924
20,300.0,0.7329959195782676
21,310.0,0.7286826444930643
22,320.0,0.724039315126224
23,330.0,0.7210183837678616
24,340.0,0.7165689588043562
25,350.0,0.7130576613797198
26,360.0,0.7088272794036078
27,370.0,0.7049005488512609
28,380.0,0.7016716026988715
29,390.0,0.6978101826288953
30,400.0,0.6941196858656564
31,410.0,0.6902165321706719
32,420.0,0.6862474851562083
33,430.0,0.6823769994853461
34,440.0,0.6790011290629012
35,450.0,0.6756186665858827
36,460.0,0.6722237427178934
37,470.0,0.6683192165351342
38,480.0,0.6647972831116333
39,490.0,0.6611970687104746
40,500.0,0.6577930597540126
