,Embedded Dimension,PCA
0,500.0,0.6583297307018087
1,600.0,0.6240004911408682
2,700.0,0.5938446069354971
3,800.0,0.5642795226044526
4,900.0,0.5376513191754744
5,1000.0,0.5131908272978685
6,1100.0,0.49233639201235935
7,1200.0,0.47006225337337193
8,1300.0,0.44953342189771156
9,1400.0,0.42940379667558554
10,1500.0,0.41000002728521157
11,1600.0,0.39221525213160524
12,1700.0,0.3757612919935789
13,1800.0,0.3596183251097206
14,1900.0,0.3438162726973685
15,2000.0,0.32908325524033183
16,2100.0,0.31488359624218826
17,2200.0,0.30160355457915844
18,2300.0,0.2880038860859187
19,2400.0,0.2762127799320427
20,2500.0,0.26382276271978916
21,2600.0,0.2527423041366295
22,2700.0,0.24138057940632116
23,2800.0,0.23138850914162354
24,2900.0,0.22203201499066824
25,3000.0,0.21131705843441909
26,3100.0,0.20218787022370568
27,3200.0,0.19361572141924774
28,3300.0,0.18591252031503142
29,3400.0,0.17733459604847654
30,3500.0,0.1695542406864411
31,3600.0,0.1628445544668764
32,3700.0,0.1552998804214708
33,3800.0,0.14811789871175013
34,3900.0,0.14227215946973668
35,4000.0,0.135927896590656
36,4100.0,0.12945575846006624
37,4200.0,0.12474273005837457
38,4300.0,0.11800950193505186
39,4400.0,0.11390440322243459
40,4500.0,0.10756733423547225
41,4600.0,0.10374531942250624
42,4700.0,0.0989348518738646
43,4800.0,0.09456478302943397
44,4900.0,0.08978433959674305
45,5000.0,0.0853197180056593
46,5100.0,0.08177312495711672
47,5200.0,0.07789503602054179
48,5300.0,0.0752014050182225
49,5400.0,0.07151596043672848
50,5500.0,0.0686222965042946
51,5600.0,0.06573381306699927
52,5700.0,0.06216691477487476
53,5800.0,0.05941194586085339
54,5900.0,0.056401473086531574
55,6000.0,0.05382152281291545
56,6100.0,0.05096961423747269
57,6200.0,0.04879157696784417
58,6300.0,0.04611367853477762
59,6400.0,0.0440082354302909
60,6500.0,0.042478857015751006
61,6600.0,0.04019802371895361
62,6700.0,0.03819801289086951
63,6800.0,0.03669078604707237
64,6900.0,0.034355847715665265
65,7000.0,0.033253152432141615
66,7100.0,0.03108895104775337
67,7200.0,0.02970840571075986
68,7300.0,0.028503763661565467
69,7400.0,0.027223643496725226
70,7500.0,0.025716027408074785
71,7600.0,0.02457263834443265
72,7700.0,0.0236862216557648
73,7800.0,0.023295561366627356
74,7900.0,0.022128463752829234
75,8000.0,0.02122424795859652
76,8100.0,0.02098263306237999
77,8200.0,0.02032328766677328
78,8300.0,0.02014993216346854
79,8400.0,0.019604741667568124
80,8500.0,0.01950626271968139
81,8600.0,0.019393947886554377
82,8700.0,0.019288037900559052
83,8800.0,0.018844475697267576
84,8900.0,0.01869146708402207
85,9000.0,0.018495429221538243
86,9100.0,0.01784514261524487
87,9200.0,0.017638312054555707
88,9300.0,0.017226490999756653
89,9400.0,0.016611307202052436
90,9500.0,0.015824183336873694
91,9600.0,0.015229240271541458
92,9700.0,0.014340488113753765
93,9800.0,0.01352753254467372
94,9900.0,0.012616805745622049
95,10000.0,0.011823984751226714
96,10100.0,0.010921396708198739
97,10200.0,0.009868241678732372
98,10300.0,0.0086783555480679
99,10400.0,0.007409523483973568
100,10500.0,0.0061317387882531705
101,10600.0,0.005889203858747006
102,10700.0,-1.0
103,10800.0,-1.0
104,10900.0,-1.0
105,11000.0,-1.0
106,11100.0,-1.0
107,11200.0,-1.0
108,11300.0,-1.0
109,11400.0,-1.0
110,11500.0,-1.0
111,11600.0,-1.0
112,11700.0,-1.0
113,11800.0,-1.0
114,11900.0,-1.0
115,12000.0,-1.0
116,12100.0,-1.0
117,12200.0,-1.0
118,12300.0,-1.0
119,12400.0,-1.0
120,12500.0,-1.0
121,12600.0,-1.0
122,12700.0,-1.0
123,12800.0,-1.0
124,12900.0,-1.0
125,13000.0,-1.0
126,13100.0,-1.0
127,13200.0,-1.0
128,13300.0,-1.0
129,13400.0,-1.0
130,13500.0,-1.0
131,13600.0,-1.0
132,13700.0,-1.0
133,13800.0,-1.0
134,13900.0,-1.0
135,14000.0,-1.0
136,14100.0,-1.0
137,14200.0,-1.0
138,14300.0,-1.0
139,14400.0,-1.0
140,14500.0,-1.0
141,14600.0,-1.0
142,14700.0,-1.0
143,14800.0,-1.0
144,14900.0,-1.0
