,Embedded Dimension,standard_LLE,ltsa_LLE,modified_LLE,Spectral_Embedding,IsoMap,MDS,UMAP,PCA,t-SNE
0,1.0,0.9235206502872007,0.8864934806727477,0.9256704508023061,0.9314184526667586,0.9471783187156952,0.9238319235903065,0.9225364433122913,0.9310656571480446,0.9021433429426795
1,2.0,0.9162297992722248,0.891513250821391,0.9095262248652958,0.9288506352725743,0.9454942157443142,0.9148123959264743,0.9159261975651033,0.9132443384054738,0.8845419033331511
2,3.0,0.9224052359994791,0.8920224576935519,0.9108851304013442,0.9318575294889849,0.9544801176809449,0.9139052270100887,0.9118520230459961,0.9072469423081688,0.8929576520488258
3,4.0,0.9275325327993912,0.8917478538480935,0.9078134908002424,0.9306021625456219,0.95548438938019,0.9003834855761491,0.9125123408598044,0.9050936393464191,0.8948325113212471
4,5.0,0.9325359040473619,0.8881464520242156,0.9068736515127834,0.9335775139626117,0.9570586767243411,0.8907971891979785,0.9117629855091803,0.9044302759641739,0.8985057179625384
5,6.0,0.9324979796705624,0.8957453857512327,0.9079455960300481,0.9286639621417669,0.9566351445190786,0.8834553329163606,0.9128290911170057,0.9014110912670288,0.9048655297212393
6,7.0,0.9451697115943286,0.8967482106464463,0.90670145405227,0.9238594649599384,0.9577890645546806,0.8766554563138816,0.9120561263079772,0.8996496989234455,0.9101287061149049
7,8.0,0.948719626528036,0.8858060446465575,0.9057799946912504,0.913441168782006,0.9571809049006611,0.869841232341253,0.9130580335773318,0.8983309142823536,0.9053525156684937
8,9.0,0.9510932423860073,0.8986856363170798,0.9054496243952221,0.9001489475255435,0.9566189734057632,0.8639342748447891,0.9118729995318553,0.8968695900829196,0.9086825195743471
9,10.0,0.952962110715967,0.8891977720850062,0.9067808732984841,0.8890517076255314,0.9567155873607132,0.858189015307583,0.9116714831113718,0.8938448815806953,0.9084026361073729
10,11.0,0.9544783987507924,0.8911049587605052,0.9072891618787093,0.8759840183558899,0.9576802964823142,0.8515197581869595,0.9126005343712389,0.8928897991572339,0.9091920036333352
11,12.0,0.9570973553439632,0.891459456265038,0.9090044021023976,0.8615207893720894,0.9573044435453373,0.8455500510464302,0.9126331947841513,0.8911186904923158,0.9072819095714452
12,13.0,0.9601265552894472,0.8898826069754767,0.9084822862208072,0.8490316019654955,0.9568341087488598,0.8385426005927362,0.9127658755760882,0.890425767208683,0.8969540153845221
13,14.0,0.9627583169673025,0.8851657572613517,0.90878599867422,0.8330579063912792,0.9556183272923197,0.8340539712351022,0.9133080429869671,0.8892021692293133,0.9125342971449188
14,15.0,0.964603794018366,0.8967092877605353,0.9101409446631872,0.8215607689006306,0.953984006677276,0.8282455798099075,0.912246400793572,0.8879410174816256,0.8962555980605155
15,16.0,0.9661594448629012,0.8940573450261491,0.9107454447670494,0.8095036381503684,0.9527366722830771,0.8221850251876359,0.9124302007794319,0.886412987369136,0.9159762683897971
16,17.0,0.9673622020515246,0.8990599947159945,0.9133333322593729,0.7994292489230483,0.9511115955082405,0.816337299128834,0.9112534339215915,0.8851054284661966,0.9004393984693233
17,18.0,0.9686790244736375,0.8874054697293351,0.9170134339975374,0.7896363354487186,0.9490990134889677,0.8103786814867142,0.912687661167328,0.883836595795571,0.8930191751367748
18,19.0,0.9698771542054591,0.8941868399542207,0.9195182514541624,0.7809406027045533,0.946927791978551,0.8062680898543216,0.9125327984397195,0.8825373735671513,0.8925013271673043
19,20.0,0.9706067848503256,0.8800429929284707,0.9218823283336282,0.773426253974242,0.944291471366365,0.8009727730837555,0.9129374916254234,0.8813159888602714,0.8917510773091689
20,21.0,0.971622988481826,0.8953438645145373,0.9248323032517108,0.7667707191231895,0.9418824348856376,0.7952563314267956,0.911977019895601,0.8799057178623245,0.8911327144422482
21,22.0,0.9720807927719163,0.8660099179773744,0.9278589840214052,0.7614710614980578,0.9394755410320614,0.7913417680098235,0.9120668155638859,0.8785096237037417,0.8894997718936882
22,23.0,0.9727776485528351,0.8954425160852876,0.9317051155753037,0.7555917818231634,0.9370841012599335,0.7849640163691136,0.9121452273427358,0.8769774832001681,0.8880826911576674
23,24.0,0.973440516851244,0.9474282912715957,0.9348466838871673,0.7501614291572397,0.9345360597082544,0.7810493270975557,0.9140498848336452,0.8761856823853613,0.8869124697177663
24,25.0,0.9736662847682689,0.8756961880758236,0.937047045637923,0.7458774118873481,0.9314449671484171,0.7755409228553258,0.9137256233219996,0.8745670025302034,0.8851643210182162
25,26.0,0.9742211347791105,0.9471838083121349,0.939639629795587,0.7416462423835513,0.928527694634625,0.7711178339794293,0.9119117887742784,0.8728619264631228,0.8840536510898066
26,27.0,0.9742756839686545,0.9474032606659057,0.9417652342249271,0.7368796652576458,0.9256911547123803,0.7675653785837578,0.9117912371721384,0.8721165776444088,0.8826774299424809
27,28.0,0.9748249649903231,0.9473149698350005,0.9431032681875204,0.7326575178491267,0.9228846010711104,0.7626119499208178,0.912319140455919,0.8706190981169707,0.8808234728612392
28,29.0,0.9750897568756812,0.9474766353953674,0.9451153945905018,0.729850689112425,0.9202342208466839,0.7596743612292717,0.9123431293184692,0.8697076726739793,0.879017776891887
29,30.0,0.9751258558530713,0.8767530440808843,0.9462462070724831,0.7261979826615295,0.9181267627398236,0.7557938841676468,0.9132466470497886,0.8679788237188515,0.8777016390181495
30,31.0,0.9754484492801483,0.8810755322554705,0.9475759065073432,0.7224266622594934,0.9161222384058152,0.7521478832321293,0.912477804738812,0.8667599501830652,0.8756838567962216
